RowNum	OrigBook	OrigRef	MatchedBook	MatchedRef	Score	SplitMethod	QuoteLen	Status
288	Jdt	15:17	Jdt	16:17	0.3846	period	181	OK
289	Jdt	15:1	Jdt	16:18	0.3600	none	115	OK
290	Jdt	15:19	Jdt	16:19	0.6000	period	63	OK
291	Jdt	15:20	Jdt	16:20	0.4706	none	144	OK
292	Jdt	15:21	Jdt	15:21	0.2083	period	82	LOW_CONFIDENCE
293	Jdt	15:22	Jdt	16:22	0.2931	period	334	MARGINAL
294	Jdt	15:29	Jdt	16:29	0.3846	period	50	OK
295	Est	16:26	Est	16:26	0.1562	tilde	102	LOW_CONFIDENCE
296	Est	1:13	Est	1:13	0.2368	period	170	LOW_CONFIDENCE
297	Est	3:8	Est	2:8	0.2667	annotation_marker	166	MARGINAL
298	Est	3:19	Est	2:19	0.2632	period	227	MARGINAL
299	Est	3:14	Est	3:14	0.3333	period	119	MARGINAL
300	Est	3:10	1Mc	10:59	0.3158	period	72	MARGINAL
301	Est	3:12	Lv	10:20	0.2727	period	36	MARGINAL
302	Est	3:14	Est	3:14	0.1875	period	121	LOW_CONFIDENCE
303	Est	3:4	Est	7:4	0.2667	period	127	MARGINAL
304	Est	3:13	Est	8:13	0.3725	period	293	OK
305	Est	9:17	Jn	19:32	0.2593	period	125	MARGINAL
306	Est	3:2	Est	11:2	0.3214	period	159	MARGINAL
307	Est	12:8	Est	12:8	0.2449	period	229	LOW_CONFIDENCE
308	Est	3:4	Est	14:4	0.3750	period	24	OK
309	Est	3:1	Bar	6:64	0.3333	period	36	MARGINAL
310	Est	3:15	Est	3:15	0.2143	period	69	LOW_CONFIDENCE
311	Est	16:19	Est	14:19	0.4857	period	147	OK
312	Est	15:7	Est	15:7	0.2000	period	97	LOW_CONFIDENCE
313	Est	16:10	Est	16:10	0.1905	period	201	LOW_CONFIDENCE
314	Est	16:3	Est	16:3	0.2683	period	198	MARGINAL
315	Est	16:12	1Mc	1:22	0.2609	period	109	MARGINAL
316	Est	16:18	Est	16:18	0.4250	period	133	OK
317	Est	16:5	Est	16:5	0.1818	period	35	LOW_CONFIDENCE
318	Est	2:24	Est	2:24	0.1034	period	64	LOW_CONFIDENCE
319	Est	2:4	Jb	2:5	0.3333	period	228	MARGINAL
320	Jb	5:17	Jb	5:17	0.2174	period	342	LOW_CONFIDENCE
321	Jb	6:3	Jb	6:3	0.1250	period	582	LOW_CONFIDENCE
322	Jb	9:2	Jb	9:2	0.2000	period	45	LOW_CONFIDENCE
323	Jb	9:6	Jb	9:6	0.1538	period	64	LOW_CONFIDENCE
324	Jb	9:14	Jb	8:14	0.3684	period	69	OK
325	Jb	9:15	Jb	8:15	0.3182	period	92	MARGINAL
326	Jb	9:22	Jb	9:22	0.2162	period	194	LOW_CONFIDENCE
327	Jb	9:3	Jb	9:3	0.2000	period	88	LOW_CONFIDENCE
328	Jb	10:5	Jb	10:5	0.3333	period	134	MARGINAL
329	Jb	10:3	Jb	10:13	0.4737	period	94	OK
330	Jb	9:13	Jb	13:13	0.3333	annotation_marker	87	MARGINAL
331	Jb	9:10	Jb	13:20	0.3636	period	65	OK
332	Jb	9:4	Jb	14:4	0.4348	period	94	OK
333	Jb	16:12	Jb	16:12	0.5000	period	89	OK
334	Jb	16:17	Jb	16:17	0.3125	period	59	MARGINAL
335	Jb	18:13	Jb	18:13	0.2400	period	108	LOW_CONFIDENCE
336	Jb	19:4	Jb	19:4	0.2647	annotation_marker	185	MARGINAL
337	Jb	19:21	Jb	19:21	0.4783	period	117	OK
338	Jb	19:22	Jb	19:22	0.0909	period	30	LOW_CONFIDENCE
339	Jb	19:1	Dt	6:4	0.2727	period	19	MARGINAL
340	Ps	19:66	Ps	19:66	0.1250	period	66	LOW_CONFIDENCE
341	Ps	19:3	Ps	19:3	0.1714	annotation_marker	63	LOW_CONFIDENCE
342	Ps	19:4	Lv	14:18	0.2500	annotation_marker	27	MARGINAL
343	Ps	19:6	Ps	1:5	0.3000	period	73	MARGINAL
344	Ps	19:7	Jb	28:23	0.3846	annotation_marker	57	OK
345	Ps	19:2	Ps	2:2	0.3750	period	114	OK
346	Ps	19:3	Ps	2:3	0.2941	annotation_marker	70	MARGINAL
347	Ps	19:5	Nm	32:10	0.2500	period	47	MARGINAL
348	Ps	19:6	Ps	2:6	0.2609	period	85	MARGINAL
349	Ps	19:8	Ps	19:8	0.1538	period	33	LOW_CONFIDENCE
350	Ps	19:9	Ps	2:9	0.4091	period	72	OK
351	Ps	19:8	Ps	19:8	0.1818	period	35	LOW_CONFIDENCE
352	Ps	19:9	Ps	19:9	0.1395	period	169	LOW_CONFIDENCE
353	Ps	19:10	Ps	19:10	0.1389	period	236	LOW_CONFIDENCE
354	Ps	19:2	Ps	19:2	0.1429	period	67	LOW_CONFIDENCE
355	Ps	19:3	Est	14:4	0.2857	annotation_marker	18	MARGINAL
356	Ps	19:4	Ps	19:4	0.2000	annotation_marker	54	LOW_CONFIDENCE
357	Ps	19:5	Ps	3:5	0.7000	annotation_marker	69	OK
358	Ps	19:6	Ps	19:6	0.2174	annotation_marker	87	LOW_CONFIDENCE
359	Ps	19:7	Ps	69:2	0.3077	period	27	MARGINAL
360	Ps	19:8	Ps	19:8	0.1923	annotation_marker	89	LOW_CONFIDENCE
361	Ps	19:6	Ps	19:6	0.1290	period	173	LOW_CONFIDENCE
362	Ps	19:1	Ps	19:1	0.2222	period	31	LOW_CONFIDENCE
363	Ps	19:2	Ps	4:2	0.2903	period	90	MARGINAL
364	Ps	19:3	Ps	19:3	0.2308	period	63	LOW_CONFIDENCE
365	Ps	19:4	Ps	19:4	0.1875	period	92	LOW_CONFIDENCE
366	Ps	19:6	Ps	19:6	0.2000	period	206	LOW_CONFIDENCE
367	Ps	19:9	Ps	4:7	0.6667	annotation_marker	95	OK
368	Ps	19:8	Ps	19:8	0.2000	annotation_marker	25	LOW_CONFIDENCE
369	Ps	19:6	Ps	19:6	0.1875	period	303	LOW_CONFIDENCE
370	Ps	19:3	Ps	19:3	0.1739	period	124	LOW_CONFIDENCE
371	Ps	19:6	Ps	19:6	0.2222	annotation_marker	47	LOW_CONFIDENCE
372	Ps	19:7	Ps	19:7	0.1000	period	26	LOW_CONFIDENCE
373	Ps	19:8	Ps	19:8	0.1000	period	91	LOW_CONFIDENCE
374	Ps	19:9	Ps	5:9	0.3333	annotation_marker	104	MARGINAL
375	Ps	19:11	Jer	5:16	0.2500	annotation_marker	25	MARGINAL
376	Ps	19:13	Ps	5:12	0.2973	annotation_marker	157	MARGINAL
377	Ps	19:14	Ps	5:13	0.3913	period	60	OK
378	Ps	19:1	Ps	115:10	0.2500	period	54	MARGINAL
379	Ps	19:6	Ps	6:6	0.3158	annotation_marker	39	MARGINAL
380	Ps	19:3	Ps	19:3	0.2222	period	16	LOW_CONFIDENCE
381	Ps	19:9	2Cor	12:8	0.2500	period	67	MARGINAL
382	Ps	19:1	Ps	19:1	0.0741	period	58	LOW_CONFIDENCE
383	Ps	19:1	Ps	7:1	0.3810	period	93	OK
384	Ps	19:2	Ps	7:2	0.4800	none	89	OK
385	Ps	19:3	Lv	21:13	0.2727	annotation_marker	27	MARGINAL
386	Ps	19:4	Ps	19:4	0.2222	period	96	LOW_CONFIDENCE
387	Ps	19:5	Ps	19:5	0.1481	annotation_marker	95	LOW_CONFIDENCE
388	Ps	19:6	Apc	21:24	0.2727	annotation_marker	74	MARGINAL
389	Ps	19:8	Ps	19:8	0.1750	period	170	LOW_CONFIDENCE
390	Ps	19:11	Ps	19:11	0.1935	period	73	LOW_CONFIDENCE
391	Ps	19:16	Ps	7:16	0.5000	none	87	OK
392	Ps	19:17	Ps	7:17	0.4444	annotation_marker	87	OK
