BookAbbrev	Chapter	Verse	VerseText_1609
Is	45	9	And he fayd : Gee,and thou fhalt fayto there treatech Ternfalem being befieged z.the Prophet telleth the King, that the enemies shal not forth tomeere Achaz , thou,and Iafub thy fonne thatis leait,to the con~ {the like again, F . 5 : co '& proceedeth, this people: Heare ye that heare,and vnderitad not:and fee the vifion, & ‘a, widhan cA: heare withtheir eares, and vnderftand withtheir hart, and be conuerted i fendtandthe j and I heale them.rr. And 1 faid: How long Lord? And he faid:Vntil the !propher cities be made defolate without inhabier , and the houfes without man, seeing: 4 and the land fhhal be leat defert.1z And our Lord {hal make mé goe farre ent hin faye off, and he {hal be mukiplied that was leaft inthe middes of the earth, ‘ing:Gue ee.” 13.And yct there shal be tithing in it,and she fhal be conuerted , and {hal S-lerom in beto the thew as aterebinth, and as anoke, that {preadeth his boughes: Preamia T/aie, thar which fhal ftand in it, (hal bean holie feed, Cuarp. VIL preusile (
Is	45	8	butthe Kingdom of Urael shal be deflroyed }
Is	45	10	gineth for 4 \ figne that Virgin shal conceme and beare a Sonne : 17 prophecies alfo the ca- prisitie and defolasion of she Kingdom of luda. (2) Before this the Kings of N p it cametopafle (4) inthe dayes of Achaz the fonne of ‘Sytiaand of ‘ iIfrael had S NS loath the sone of Ozias King of luda,there came vp R afin the itaken Kine ¢ Y King of Sytia, and Phacee the fonne of Romeliathe King of jAchaz in bat-' Tfrael,to Terulalé to fight againft itrandthey could not ouercome it.2-And lcel, and earied they toldthe houfe of Danid,faying: Sytia hath refted vp6 Ephraim, and !@way great : chi eth ds fpoyles,2.Paft hishart wasmoued, andthe hart of his people, as thetrees ot the woods P! are moued at the face of.the winde,
Is	45	3	And our Lord fayd to-Haie:Goe “ral.28:Bor pre- fuming , to do duire of the vpper poole , in the way.of the Fullers. fielde.
Is	45	4	And thou God fuffered fhalt fay to him ; See thou be ftil : feare not ,.and let nor thine hart be a- Ithem ie to frayd of the two tailes of thefe fmoking fyrebrands , in the wrath of ‘Myftically this the furie of Rafin the King of Syria, and-of the fonne of Romelia. fignified lii 2 5.Fer- ‘that heretikes of diuers ‘fectes confpire (together,to -{impugne che Catholike JChurch, Which they doe much af. fli@,and serri- fie, but can ne- bunc lecum, (¢) Though , al Was ver y wicked.and committed j. ddolarrie, 4.Reg, 416.
Is	45	2	Par... yet he belie. ued in God JAlnightie, knowing thar he ought not to tempt him, (*)Vpon ocea- Hion of Gods Mmercie proui- fed withour © mans defert, whichKing A chaz hardly belicued,to tconfirme the fame witha arse grearer example,God infpired the Prophet alfo ito foreshew the greater’ myfte- trie of Chrifts Incarnation, his conception & birthof 4 Virgin,for the redemption off al mankind, {eer oucrthrow} tt.$ Ierom in 450 THE PROPHECTE, 5.For that Syria hath také countel againit thee,vnto the cui] of Ephraim, and the fonne of Romelia,faying :
Is	45	6	Let vs goevp to ludaand rayfe ir vp,and plucke it a. ay tovs, and makethelonneof Tabech King inthe middestherof,
Is	45	9	Thus fayth our Lord God :'It fhal not ftand, & this hal not be.8.But the head of Syria Damafcus,& the head of Damascus, Ra- fin:and yer three{cere-and fiue yeares,and Ephraim fhal ceafe to be a peo- ple :
Is	45	9	Andshe head of Ephraim Samaria, and thehead of Samaria the fonne of Romelia[fyou wil not beiicue, you shal not .be permanent, 10. And our Lord added to fpeake to Achaz,faying.
Is	45	11	Askea Ggne tor thee ofthe.Lord thy God wnto the depthof hel,or vnto the height abouc. 12. ‘And Achaz faid: I wil not aske,and(b)I wil not tempte our Lord.13.And “hefaid:Heare yetherfore 6 houfe af Dauidsls ita {malthing for you, to be grieuousto men,that you are gricuous to my God alfo ?
Is	45	14	Thertore thal our Lord himfelte(c)giue you a figne. Behold a Virgin thal conceiue, and beare afonne,& his name thal be called Emmanuel,
